class_id,parent_class,domain,description,key_attributes
Enterprise,,Corporate,Top-level demo company boundary,"enterpriseId;name"
BusinessSegment,,Corporate,Major value-chain segment such as upstream or downstream,"segmentId;name"
OperatingRegion,,Corporate,Anonymized geography or operating basin,"regionId;name;regionType"
AssetComplex,,Corporate,Major operating asset such as offshore hub or refinery complex,"assetComplexId;name;assetComplexType"
Reservoir,SubsurfaceAsset,Subsurface,Subsurface hydrocarbon accumulation represented by zones and compartments,"reservoirId;name;fluidType;pressureRegime"
ReservoirZone,SubsurfaceAsset,Subsurface,Geological interval within a reservoir,"zoneId;name;depthDatum;formationType"
ReservoirCompartment,SubsurfaceAsset,Subsurface,Connected or partially isolated reservoir volume,"compartmentId;name;connectivityClass"
Well,PhysicalAsset,Wells,Production injection observation or appraisal well,"wellId;name;wellType;status;service"
Wellbore,PhysicalAsset,Wells,Physical bore path associated with a well,"wellboreId;trajectoryType;completionType"
Completion,PhysicalAsset,Wells,Completion assembly enabling flow between reservoir and wellbore,"completionId;completionType;interval"
ProductionFacility,AssetComplex,SurfaceProduction,Surface facility for processing produced fluids,"facilityId;facilityType;designCapacity"
RefineryComplex,AssetComplex,Refining,Integrated downstream processing complex,"refineryId;configuration;nameplateCapacity"
ProcessArea,,Operations,Logical operating area grouping related units,"areaId;name;domain"
ProcessUnit,,Operations,Functional processing unit such as separator train compressor train CDU or hydrotreater,"unitId;name;unitType;criticality"
System,,Operations,Supporting system within a unit such as lube oil cooling fuel gas flare or control,"systemId;name;systemType"
Equipment,PhysicalAsset,Operations,Physical process or utility equipment,"equipmentId;name;equipmentType;criticality;service"
RotatingEquipment,Equipment,Operations,Equipment with rotating components,"equipmentId;driverType;ratedPower"
StaticEquipment,Equipment,Operations,Vessels columns tanks exchangers and other non-rotating equipment,"equipmentId;designPressure;designTemperature"
Component,PhysicalAsset,Operations,Maintainable or monitorable sub-equipment component,"componentId;componentType;maintainable"
Instrument,PhysicalAsset,OT,Field instrument or analyzer associated with an asset or process variable,"instrumentId;instrumentType;measuredVariable;unitOfMeasure"
TelemetryTag,,OT,Synthetic PI-style time-series point,"tagId;tagName;sourceSystem;sampleIntervalSeconds;engineeringUnit"
ControlLoop,,Control,Control relationship connecting measurement controller and actuator,"loopId;controlledVariable;manipulatedVariable;controlMode"
Event,,Operations,Operational event such as alarm trip shutdown maintenance or abnormal condition,"eventId;eventType;severity;startTime;endTime"
FailureMode,,Reliability,Known degradation or failure pattern for an asset class,"failureModeId;name;detectability;impactCategory"
KPI,,Business,Operational or business metric derived from asset and telemetry semantics,"kpiId;name;calculationMethod;aggregationWindow"
